requirement_id,artifact_type,artifact_id,verification_method,test_id,status
SYS-FR-001,requirement,SW-FR-PKG-001,test,PKG-LOAD-001,planned
SYS-FR-002,component,SCHEMA-VALIDATION,test,PKG-VALIDATE-001,planned
SYS-FR-003,requirement,SW-FR-CODEC-001,test,CODEC-DECODE-001,passing
SYS-FR-004,requirement,SW-FR-CODEC-002,test,CODEC-ENCODE-001,passing
SW-FR-CODEC-003,component,CODEC-BITPACK,test,CODEC-BITPACK-001,passing
SW-FR-CODEC-004,component,CODEC-SCALING,test,CODEC-SCALING-001,passing
SW-FR-CODEC-005,component,CODEC-SIGNED,test,CODEC-SIGNED-001,passing
SW-FR-CODEC-006,component,CODEC-BOOL-ENUM,test,CODEC-BOOL-ENUM-001,passing
SW-FR-CODEC-007,component,CODEC-NAMESPACE,test,SIGNAL-NS-001,passing
SW-FR-CODEC-008,component,CODEC-INVALID-FRAME,test,CODEC-INVALID-FRAME-001,passing
SYS-NF-001,component,CODEC-DETERMINISM,test,CODEC-DETERMINISM-001,passing
SYS-NF-002,component,CODEC-NO-ALLOC,test,CODEC-NO-ALLOC-001,passing
QA-H02,component,CODEC-BITPACK,test,CODEC-BITPACK-002,passing
SYS-FR-005,requirement,SW-FR-RECIPE-001,test,RECIPE-EXEC-001,passing
SYS-FR-006,requirement,SW-FR-FSM-004,test,FSM-LIFECYCLE-001,passing
SYS-FR-007,component,FSM-PROFILE-TEST,demonstration,FSM-EMULATION-001,planned
SYS-FR-008,requirement,SW-FR-CAN-001,test,CAN-IF-001,planned
SYS-FR-009,requirement,SW-FR-RECIPE-005,test,RECIPE-FILTER-001c,passing
SYS-FR-010,requirement,SW-FR-CODEC-007,test,SIGNAL-NS-001,passing
SYS-FR-011,requirement,SW-FR-LOG-001,test,LOG-JSONL-001,planned
SYS-FR-013,requirement,SW-FR-SIM-001,test,SIM-RUNTIME-001,planned
SYS-FR-014,requirement,SW-FR-SIM-004,test,SIM-DETERMINISM-001,planned
SYS-FR-015,requirement,SW-FR-CAN-003,test,SAFE-DEFAULT-001,planned
SYS-FR-016,component,FAULT-TABLE,test,FAULT-HANDLING-001,planned
SYS-SF-001,requirement,SW-FR-CAN-003,test,NO-TX-BY-DEFAULT-001,planned
SYS-SF-002,requirement,SW-FR-GOV-001,test,CAPABILITY-TX-001,planned
SYS-SF-003,requirement,SW-FR-GOV-002,test,RATE-LIMIT-001,planned
SYS-SF-004,component,MODE-FAULT-STATE-MACHINE,test,CRITICAL-SAFE-001,planned
SYS-SEC-001,component,PACKAGE-INTEGRITY,test,PKG-HASH-001,planned
SYS-SEC-003,component,LOG-PRIVACY,demonstration,LOG-CLEAR-001,planned
SW-FR-FSM-012,component,FSM-TRANSITION-SELECTION,test,FSM-PRECEDENCE-001,passing
SW-FR-FSM-020,component,EVENT-QUEUE-OVERFLOW,test,FSM-QUEUE-002,passing
SW-FR-FSM-030,component,TIMER-SPEC,test,FSM-TIMER-001,passing
SW-FR-FSM-035,component,EXPRESSION-SPEC,test,EXPR-GRAMMAR-001,passing
SW-FR-FSM-040,component,CAPABILITY-SCHEMA,test,FSM-CAPABILITY-003,passing
SW-FR-FSM-041,component,SIGNAL-CAPABILITY,test,FSM-CAPABILITY-005,passing
QA-v0.2-R01,component,SCHEMAS,inspection,SCHEMA-COMMIT-001,planned
QA-v0.2-R02,requirement,SYS-SF-004-v0.2.1,test,CRITICAL-SAFE-002,planned
QA-v0.2-R03,component,PACKAGE-BINDINGS,test,PKG-BINDING-001,planned
QA-v0.2-R04,component,FSM-INCOMING-QUEUE,test,FSM-QUEUE-001,passing
QA-v0.2-R05,component,SIGNAL-NAMESPACE,test,SIGNAL-COLLISION-001,planned
QA-v0.2-R06,component,FSM-TRANSITION-PRECEDENCE,test,FSM-PRECEDENCE-003,passing
QA-v0.2-R07,component,SYRS-MODES,inspection,SYRS-MODE-UPDATE-001,planned
QA-v0.2-R08,requirement,SYS-SEC-003-v0.2.1,demonstration,LOG-PRIVACY-001,planned
QA-v0.2-R09,component,RECIPE-TRIGGER-EVENT,test,RECIPE-SCHEMA-EVENT-001,passing
QA-v0.2-R10,component,RECIPE-ACTION-RESTRICTION,test,RECIPE-NO-TRANSITION-001,passing
SW-FR-EVENT-001,component,EVENT-TYPES,test,EVENT-TYPES-001,passing
SW-FR-EVENT-002,component,EVENT-CLOCK,test,EVENT-CLOCK-001,passing
SW-FR-EVENT-003,component,EVENT-TYPES,test,EVENT-TYPES-002,passing
SW-FR-EVENT-004,component,EVENT-QUEUE,test,EVENT-QUEUE-001,passing
SW-FR-EVENT-005,component,EVENT-QUEUE-COUNTERS,test,EVENT-OVERFLOW-001,passing
SW-FR-EVENT-006,component,EVENT-ORDERING,test,EVENT-ORDERING-001,passing
SYS-NF-001,component,EVENT-ORDERING,test,EVENT-ORDERING-002,passing
SYS-NF-002,component,EVENT-NO-ALLOC,test,EVENT-NO-ALLOC-001,passing
SYS-IR-005,component,EVENT-CLOCK,test,EVENT-CLOCK-002,passing
QA-v0.2-R04,component,EVENT-QUEUE-OVERFLOW,test,EVENT-OVERFLOW-002,passing
SYS-FR-018,tool,tools/dbc2codec,test,DBC-IMPORT-001,passing
SYS-NF-008,test,tests/integration/opendbc-parity,test,PARITY-DECODE-001,passing
QA-H02,test,tests/integration/opendbc-parity,test,PARITY-BITPACK-001,passing
QA-v0.2-R01,tool,tools/dbc2codec,test,DBC-VALIDATE-001,passing
QA-v0.2-R01,document,docs/safety/ai-agent-policy.md,inspection,CI-GATES-001,planned
SW-FR-RECIPE-002,component,RECIPE-CONDITIONS,test,RECIPE-COND-001,passing
